-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-70,-80,-90,-100,-110,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-90,-100,-110,-120,-120,-120,-120,-120,-120,-120,-120,-50,1050,1840,2190,2880,3370,4080,4210,4320,4310,4520,4790,4820,4810,4800,4790,4780,4770,4760,4750,4740,4730,4720,4710,4700,4690,4680,4670,4660,4650,4640,4630,4620,4610,4600
-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-80,-90,-100,-110,-120,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-130,-100,-110,-120,-130,-130,-130,-130,-130,-130,-130,-130,-60,1040,1830,2180,2870,3360,4070,4200,4310,4300,4510,4780,4810,4800,4790,4780,4770,4760,4750,4740,4730,4720,4710,4700,4690,4680,4670,4660,4650,4640,4630,4620,4610,4600,4590
-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-90,-100,-110,-120,-130,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,-110,-120,-130,-140,-140,-140,-140,-140,-140,-140,-140,-70,1030,1820,2170,2860,3350,4060,4190,4300,4290,4500,4770,4800,4790,4780,4770,4800,4790,4780,4770,4760,4750,4740,4730,4720,4710,4700,4690,4680,4670,4660,4650,4640,4630,4620
-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-100,-110,-120,-130,-140,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-120,-130,-140,-150,-150,-150,-150,-150,-150,-150,-150,-80,1020,1810,2160,2850,3340,4050,4180,4290,4280,4490,4760,4790,4780,4770,4760,4790,4780,4770,4760,4750,4740,4730,4720,4710,4700,4690,4680,4670,4660,4650,4640,4630,4620,4610
-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-110,-120,-130,-140,-150,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-130,-140,-150,-160,-160,-160,-160,-160,-160,-160,-160,-90,1010,1800,2150,2840,3330,4040,4170,4280,4270,4480,4750,4780,4770,4760,4750,4780,4770,4760,4750,4740,4730,4720,4710,4700,4690,4680,4670,4660,4650,4640,4630,4620,4610,4600
-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-120,-130,-140,-150,-160,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-140,-150,-160,-170,-170,-170,-170,-170,-170,-170,-170,-100,1000,1790,2140,2830,3320,4030,4160,4270,4260,4470,4740,4770,4760,4750,4740,4770,4760,4750,4740,4730,4720,4710,4700,4690,4680,4670,4660,4650,4640,4630,4620,4610,4600,4590
-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-130,-140,-150,-160,-170,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-150,-160,-170,-180,-180,-180,-180,-180,-180,-180,-180,-110,990,1780,2130,2820,3310,4020,4150,4260,4250,4460,4730,4760,4750,4740,4730,4760,4750,5080,5070,5060,5050,5040,5030,5020,5010,5000,4990,4980,4970,4960,4950,4940,4930,4920
-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-140,-150,-160,-170,-180,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-190,-160,-170,-180,-160,-170,-180,-190,-190,-190,-190,-190,-190,-190,-190,-120,980,1770,2120,2810,3300,4010,4140,4250,4240,4450,4720,4750,4740,4730,4720,4750,4740,5070,5360,5350,5340,5330,5320,5310,5300,5290,5280,5270,5260,5250,5240,5230,5220,5210
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-150,-160,-170,-180,-190,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-170,-180,-190,-170,-180,-190,-200,-200,-200,-200,-200,-200,-200,-200,-130,970,1760,2110,2800,3290,4000,4130,4240,4230,4440,4710,4740,4730,4720,4710,4740,4730,5060,5370,5540,5530,5520,5510,5500,5490,5480,5470,5460,5450,5440,5430,5420,5410,5400
-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-160,-170,-180,-190,-200,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-180,-190,-200,-180,-190,-200,-210,-210,-210,-210,-210,-210,-210,-210,-140,960,1750,2100,2790,3280,3990,4120,4230,4220,4430,4700,4730,4720,4710,4700,4730,4720,5050,5360,5530,5520,5510,5500,5490,5480,5470,5460,5450,5440,5430,5420,5410,5400,5390
-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-170,-180,-190,-200,-210,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-220,-190,-200,-210,-190,-200,-210,-220,-220,-220,-220,-220,-220,-220,-220,-150,950,1740,2090,2780,3270,3980,4110,4220,4210,4420,4690,4720,4710,4700,4690,4720,4710,5040,5350,5520,5510,5500,5490,5480,5470,5460,5450,5440,5430,5420,5410,5400,5390,5380
-230,-230,-230,-230,-230,-230,-230,-230,-230,-200,-210,-220,-230,-230,-230,-230,-180,-190,-200,-210,-220,-230,-230,-230,-230,-230,-230,-230,-230,-230,-230,-230,-200,-210,-220,-200,-210,-220,-230,-230,-230,-230,-230,-230,-230,-230,-160,940,1730,2080,2770,3260,3970,4100,4210,4200,4410,4680,4710,4700,4690,4680,4710,4700,5030,5340,5510,5500,5490,5480,5470,5460,5490,5480,5470,5460,5470,5460,5450,5440,5430
-240,-240,-240,-240,-240,-240,-210,-220,-230,-210,-220,-230,-240,-240,-240,-210,-190,-200,-210,-220,-230,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-210,-220,-230,-210,-220,-230,-240,-240,-240,-240,-240,-240,-240,-240,-170,930,1720,2070,2760,3250,3960,4090,4200,4190,4400,4670,4700,4690,4680,4670,4700,4690,5020,5330,5500,5490,5480,5470,5460,5450,5480,5470,5460,5450,5460,5450,5440,5430,5420
-250,-250,-250,-250,-250,-250,-220,-230,-240,-220,-230,-240,-250,-250,-250,-220,-200,-210,-220,-230,-240,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-220,-230,-240,-220,-230,-240,-250,-250,-250,-250,-250,-250,-250,-250,-180,920,1710,2060,2750,3240,3950,4080,4190,4180,4390,4660,4690,4680,4670,4660,4690,4680,5010,5320,5490,5480,5470,5460,5490,6040,6030,6020,6010,6000,5990,5980,5970,5960,5950
-260,-260,-260,-260,-260,-260,-230,-240,-250,-230,-240,-250,-260,-260,-260,-230,-210,-220,-230,-240,-250,-260,-260,-260,-260,-260,-260,-260,-260,-260,-260,-260,-230,-240,-250,-230,-240,-250,-260,-260,-260,-260,-260,-260,-260,-260,-190,910,1700,2050,2740,3230,3940,4070,4180,4170,4380,4650,4680,4670,4660,4650,4680,4670,5000,5310,5480,5470,5460,5450,5480,6030,6080,6070,6060,6050,6040,6030,6040,6030,6020
-270,-270,-270,-270,-270,-270,-240,-250,-260,-230,-240,-250,-260,-270,-270,-240,-220,-230,-240,-250,-260,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-240,-250,-260,-240,-250,-260,-270,-270,-270,-270,-270,-270,-270,-270,-200,900,1690,2040,2730,3220,3930,4060,4170,4160,4370,4640,4670,4660,4650,4640,4670,4660,4990,5300,5470,5460,5450,5440,5470,6020,6290,6420,6410,6400,6390,6380,6370,6360,6350
